"dod_firm","lob_firm","dod_awards","dod_contracts","lob_payments"
"dreamhammer inc","","869151","2","0"
"radiance technologies inc","radiance technologies","1849699","5","1903000"
"vexcel corp","","799821","2","0"
"argon engineering associates inc","argon engineering associates","889231","3","120000"
"aurora associates","","50000","1","0"
"lite cycles inc","","729618","1","0"
"camgian microsystems corp","camgian microsystems","296951","3","0"
"rhamm technologies llc","","95781","1","0"
"rpa electronic solutions inc","","1111699","2","0"
"advanced ceramics manufacturing","advanced ceramics manufacturing","99999","1","380000"
"airfoils inc","","1587856","2","0"
"astron antenna co","","719894","2","0"
"broadata communications inc","","75980","1","0"
"g a tyler associates inc dba the optical sc","","899972","2","0"
"desantage corp","","850000","2","0"
"frontier technology inc","frontier technology","794313","2","259000"
"applied systems engineering inc","","849984","2","0"
"xybion corp","","64558","1","0"
"foster miller inc","foster miller inc","9718204","12","140000"
"intrinsix","","100000","1","0"
"aerochem corp","","383319","1","0"
"intelliware llc","","99879","1","0"
"innova inc","","98825","1","0"
"cognitech inc","","898523","2","0"
"mark resources inc","","248850","2","0"
"simwright inc","","909958","1","0"
"busek co inc","","98664","1","0"
"applied physical electronics l c","applied physical electronics","1633818","4","210000"
"safety dynamics","","98597","1","0"
"davis model products llc dba davis dies","","749151","1","0"
"innovative technical solutions inc","innovative technical solutions","69962","1","593000"
"advr inc","advo inc","69939","1","2540000"
"interscience inc","","893411","2","0"
"aerodyne research inc","","628434","3","0"
"cpu technology inc","cpu technology","100000","1","1269000"
"metratek inc","","2028724","3","0"
"technest inc","","782321","1","0"
"systran federal corp","","849087","2","0"
"spiritech advanced products inc","","99983","1","0"
"innovative research and technology","","64478","1","0"
"aneeve","","99056","1","0"
"orion international technologies inc","","149944","1","0"
"voxtel inc","","3569951","4","0"
"augusta systems inc","","1096630","2","0"
"modelogics inc","","749515","1","0"
"tka","","98991","1","0"
"imagecorp inc","imagecom inc","99000","1","0"
"aerovel corp","","1818877","7","0"
"innosys","","150000","1","0"
"boulder nonlinear systems inc","boulder nonlinear systems","139411","2","30000"
"emag technologies inc","","1048400","4","0"
"dedicated electronics inc","","749831","1","0"
"referentia systems inc","referentia systems","3458206","1","90000"
"sysense corp","","248452","2","0"
"gvd corp","","1294291","2","0"
"fisher electric technology","","100000","1","0"
"lsa","","867165","4","0"
"nexgen aircraft corp","","784398","1","0"
"odyssian technology llc","","99944","1","0"
"arete associates","arete associates","12482886","28","360000"
"gitam technologies inc","","200000","2","0"
"surface optics corp","","2518027","3","0"
"flodesign inc","flodesign inc","79955","1","450000"
"flow analysis inc","","846004","2","0"
"area i inc","","969937","3","0"
"spectracom corp","","99037","1","0"
"optimal synthesis inc","","949951","3","0"
"piasecki aircraft corp","piasecki aircraft","2725013","5","600000"
"cfe services","","98631","1","0"
